GWO,PSO,WOA,FPSOGWO,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,0.009206317,4.44E-16,4.44E-16,
4.44E-16,1.92E-13,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,4.44E-16,4.44E-16,4.44E-16,
4.44E-16,3.07E-04,4.44E-16,4.44E-16,(30次均值）
0.00E+00,0.001652585,0.00E+00,0.00E+00,（30次均方差）
