GWO,PSO,WOA,FPSOGWO,
8.78E-200,1.13E-112,1.04e-322,0,
8.78E-200,1.27E-110,1.04e-322,0,
8.78E-200,9.38E-111,1.04e-322,0,
9.07E-234,1.95E-256,1.04e-322,0,
9.07E-234,8.13E-256,1.04e-322,0,
8.78E-200,8.89E-108,1.04e-322,0,
8.78E-200,1.99E-05,1.04e-322,0,
8.78E-200,3.69E-46,1.04e-322,0,
8.78E-200,3.89E-82,1.04e-322,0,
8.78E-200,9.24E-57,1.04e-322,0,
8.78E-200,1.64E-65,1.04e-322,0,
8.78E-200,2.14E-51,1.04e-322,0,
8.78E-200,9.94E-53,1.04e-322,0,
8.78E-200,1.51E-52,1.04e-322,0,
8.78E-200,4.64E-57,1.04e-322,0,
8.78E-200,9.68E-52,1.04e-322,0,
8.78E-200,4.91E-51,1.04e-322,0,
8.78E-200,0,1.04e-322,0,
8.78E-200,2.78E-55,1.04e-322,0,
8.78E-200,9.48E-83,1.04e-322,0,
8.78E-200,2.92E-47,1.04e-322,0,
8.78E-200,1.76E-52,1.04e-322,0,
8.78E-200,2.45E-57,1.04e-322,0,
8.78E-200,2.18E-55,1.04e-322,0,
8.78E-200,7.28E-75,1.04e-322,0,
8.78E-200,4.12E-49,1.04e-322,0,
8.78E-200,6.18E-48,1.04e-322,0,
8.78E-200,2.40E-54,1.04e-322,0,
8.78E-200,8.92E-67,1.04e-322,0,
8.78E-200,6.33E-51,1.04e-322,0,
8.20E-200,6.62E-07,1.04e-322,0,(30次均值）
0,3.56604E-06,0,0,（30次均方差）
