GWO,PSO,WOA,FPSOGWO,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0.006307875,0,0,
0,0.000125421,0,0,
0,0,0,0,
0,5.66E-05,0,0,
0,1.12E-06,0,0,
0,7.35E-07,0,0,
0,5.95E-08,0,0,
0,2.30E-05,0,0,
0,1.41E-06,0,0,
0,1.62E-07,0,0,
0,1.72E-06,0,0,
0,2.33E-15,0,0,
0,3.09E-07,0,0,
0,1.90E-06,0,0,
0,0,0,0,
0,6.53E-07,0,0,
0,7.04E-06,0,0,
0,2.68E-05,0,0,
0,5.64E-07,0,0,
0,9.41E-08,0,0,
0,6.68E-06,0,0,
0,7.44E-06,0,0,
0,1.25E-07,0,0,
0,5.69E-07,0,0,
0,0.000219007,0,0,(30次均值）
0,0.001130939,0,0,（30次均方差）
